"homePTS","homeORBR","homeDRBR","homeFGR","home3PR","home2PR","homeFTR","homeWins","awayPTS","awayORBR","awayDRBR","awayFGR","away3PR","away2PR","awayFTR","awayWins","pastMatchesScoreDifference","isHomeWinner"
"21",94,0.25,0.75,0.45,0.5,0.433333333333333,0.705882352941177,0.333333333333333,105,0.316445182724252,0.683554817275748,0.452331063383971,0.428879310344828,0.452617863065624,0.628526645768025,0.5,0,"TRUE"
"22",104,0.218030507504192,0.781969492495808,0.48970398970399,0.38984126984127,0.52657673238787,0.777961980548187,0.666666666666667,99,0.232558139534884,0.767441860465116,0.475,0.3,0.533333333333333,0.653846153846154,1,0,"TRUE"
"23",91.3333333333333,0.293167936734979,0.706832063265021,0.407819149907757,0.24400871459695,0.432077937711741,0.768636363636364,0.833333333333333,84,0.25,0.75,0.376623376623377,0.411764705882353,0.366666666666667,0.826086956521739,0.333333333333333,0,"FALSE"
"24",116,0.333333333333333,0.666666666666667,0.506024096385542,0.45,0.523809523809524,0.821428571428571,0.666666666666667,105,0.243243243243243,0.756756756756757,0.452380952380952,0.363636363636364,0.483870967741935,0.777777777777778,0.75,0,"FALSE"
"25",86,0.152173913043478,0.847826086956522,0.435897435897436,0.3,0.482758620689655,0.705882352941177,0,99,0.239130434782609,0.760869565217391,0.465116279069767,0.444444444444444,0.470588235294118,0.916666666666667,0.75,0,"FALSE"
"26",108.5,0.260869565217391,0.739130434782609,0.488751263902932,0.575757575757576,0.482785602503912,0.782163742690059,0.5,73,0.325,0.675,0.375,0.142857142857143,0.457627118644068,0.588235294117647,0.25,0,"FALSE"
"27",94,0.151515151515151,0.848484848484849,0.43284951618285,0.332417582417582,0.453921568627451,0.816526610644258,0.5,80.5,0.226602382302893,0.773397617697107,0.423523206751055,0.32620320855615,0.459677419354839,0.7,0.5,0,"FALSE"
"28",95.5,0.263888888888889,0.736111111111111,0.45368492224476,0.318181818181818,0.5003663003663,0.691176470588235,0.75,84,0.170731707317073,0.829268292682927,0.464788732394366,0.35,0.509803921568627,0.846153846153846,0.5,0,"FALSE"
"29",102,0.261100687929956,0.738899312070044,0.467532467532467,0.467592592592593,0.457083333333333,0.738888888888889,1,96.5,0.2125,0.7875,0.423529411764706,0.416666666666667,0.416666666666667,0.754273504273504,0.75,0,"TRUE"
"30",81.6666666666667,0.243019721495723,0.756980278504277,0.409207818930041,0.26765443019313,0.449891810787333,0.768633540372671,0.666666666666667,99,0.394736842105263,0.605263157894737,0.428571428571429,0.176470588235294,0.486486486486487,0.75,0.25,0,"TRUE"
"31",91,0.301681706316653,0.698318293683347,0.407592256503327,0.233823529411765,0.455357142857143,0.702020202020202,0.75,86,0.271835573184327,0.728164426815673,0.406371548396461,0.332867132867133,0.4368279033024,0.758154461279461,0.625,0,"TRUE"
"32",103,0.170525289396705,0.829474710603295,0.483639866701394,0.441548821548822,0.50929028327749,0.826927361853832,0.583333333333333,92,0.295487845487845,0.704512154512155,0.426852531126851,0.369755244755245,0.445155334861217,0.74674245220344,0,0,"TRUE"
"33",103,0.274509803921569,0.725490196078431,0.417582417582418,0.357142857142857,0.428571428571429,0.88,0.833333333333333,107,0.331609195402299,0.668390804597701,0.457946554149086,0.318518518518519,0.528846153846154,0.800599700149925,0.5,0,"TRUE"
"34",88.5,0.269230769230769,0.730769230769231,0.417391304347826,0.186147186147186,0.471856036827788,0.743506493506493,0.416666666666667,102,0.304980549166596,0.695019450833404,0.441088925976911,0.400502873563218,0.45606622969807,0.625366970194556,0.416666666666667,0,"TRUE"
"35",99.5,0.282945736434109,0.717054263565891,0.472297500752785,0.324013157894737,0.516129032258065,0.722826086956522,0.5,91.5,0.219727345629511,0.780272654370489,0.442979452054794,0.323913043478261,0.486666666666667,0.66025641025641,0.75,0,"FALSE"
"36",109,0.403846153846154,0.596153846153846,0.445652173913043,0.333333333333333,0.5,0.772727272727273,0.625,93.3333333333333,0.302263708513709,0.697736291486291,0.449905214611097,0.358363858363858,0.473629385964912,0.685314685314685,0.5,0,"TRUE"
"37",98,0.28604118993135,0.71395881006865,0.504329004329004,0.374271561771562,0.537186771561772,0.597896726928985,0.166666666666667,97.6666666666667,0.288160878386442,0.711839121613558,0.423084021921231,0.276610644257703,0.462837079912056,0.756914583001539,0.583333333333333,0,"TRUE"
"38",96.5,0.383699633699634,0.616300366300366,0.403540903540904,0.414565826330532,0.399823736780259,0.862229102167183,0.25,89,0.221243693465086,0.778756306534914,0.444950430516963,0.396955985191279,0.465871902758298,0.742028985507246,0.583333333333333,0,"FALSE"
"39",106,0.313432835820896,0.686567164179104,0.393939393939394,0.181818181818182,0.454545454545455,0.888888888888889,0.6,89,0.344405594405594,0.655594405594406,0.383040935672515,0.297413793103448,0.426593521421108,0.728571428571429,0,0,"TRUE"
